Country,Status_revised
Australia,Developed
Austria,Developed
Belgium,Developed
Bulgaria,Developed
Canada,Developed
Croatia,Developed
Cyprus,Developed
Czechia,Developed
Denmark,Developed
Estonia,Developed
Finland,Developed
France,Developed
Germany,Developed
Greece,Developed
Hungary,Developed
Iceland,Developed
Ireland,Developed
Italy,Developed
Japan,Developed
Latvia,Developed
Lithuania,Developed
Luxembourg,Developed
Malta,Developed
Netherlands,Developed
New Zealand,Developed
Norway,Developed
Poland,Developed
Portugal,Developed
Romania,Developed
Singapore,Developed
Slovakia,Developed
Slovenia,Developed
Spain,Developed
Sweden,Developed
Switzerland,Developed
United Kingdom of Great Britain and Northern Ireland,Developed
United States of America,Developed
Afghanistan,Developing
Albania,Developing
Algeria,Developing
Angola,Developing
Antigua and Barbuda,Developing
Argentina,Developing
Armenia,Developing
Azerbaijan,Developing
Bahamas,Developing
Bahrain,Developing
Bangladesh,Developing
Barbados,Developing
Belarus,Developing
Belize,Developing
Benin,Developing
Bhutan,Developing
Bolivia (Plurinational State of),Developing
Bosnia and Herzegovina,Developing
Botswana,Developing
Brazil,Developing
Brunei Darussalam,Developing
Burkina Faso,Developing
Burundi,Developing
Cabo Verde,Developing
Cambodia,Developing
Cameroon,Developing
Central African Republic,Developing
Chad,Developing
Chile,Developing
China,Developing
Colombia,Developing
Comoros,Developing
Congo,Developing
Cook Islands,Developing
Costa Rica,Developing
Côte d'Ivoire,Developing
Cuba,Developing
Democratic People's Republic of Korea,Developing
Democratic Republic of the Congo,Developing
Djibouti,Developing
Dominica,Developing
Dominican Republic,Developing
Ecuador,Developing
Egypt,Developing
El Salvador,Developing
Equatorial Guinea,Developing
Eritrea,Developing
Ethiopia,Developing
Fiji,Developing
Gabon,Developing
Gambia,Developing
Georgia,Developing
Ghana,Developing
Grenada,Developing
Guatemala,Developing
Guinea,Developing
Guinea-Bissau,Developing
Guyana,Developing
Haiti,Developing
Honduras,Developing
India,Developing
Indonesia,Developing
Iran (Islamic Republic of),Developing
Iraq,Developing
Israel,Developing
Jamaica,Developing
Jordan,Developing
Kazakhstan,Developing
Kenya,Developing
Kiribati,Developing
Kuwait,Developing
Kyrgyzstan,Developing
Lao People's Democratic Republic,Developing
Lebanon,Developing
Lesotho,Developing
Liberia,Developing
Libya,Developing
Madagascar,Developing
Malawi,Developing
Malaysia,Developing
Maldives,Developing
Mali,Developing
Marshall Islands,Developing
Mauritania,Developing
Mauritius,Developing
Mexico,Developing
Micronesia (Federated States of),Developing
Monaco,Developing
Mongolia,Developing
Montenegro,Developing
Morocco,Developing
Mozambique,Developing
Myanmar,Developing
Namibia,Developing
Nauru,Developing
Nepal,Developing
Nicaragua,Developing
Niger,Developing
Nigeria,Developing
Niue,Developing
Oman,Developing
Pakistan,Developing
Palau,Developing
Panama,Developing
Papua New Guinea,Developing
Paraguay,Developing
Peru,Developing
Philippines,Developing
Qatar,Developing
Republic of Korea,Developing
Republic of Moldova,Developing
Russian Federation,Developing
Rwanda,Developing
Saint Kitts and Nevis,Developing
Saint Lucia,Developing
Saint Vincent and the Grenadines,Developing
Samoa,Developing
San Marino,Developing
Sao Tome and Principe,Developing
Saudi Arabia,Developing
Senegal,Developing
Serbia,Developing
Seychelles,Developing
Sierra Leone,Developing
Solomon Islands,Developing
Somalia,Developing
South Africa,Developing
South Sudan,Developing
Sri Lanka,Developing
Sudan,Developing
Suriname,Developing
Swaziland,Developing
Syrian Arab Republic,Developing
Tajikistan,Developing
Thailand,Developing
The former Yugoslav republic of Macedonia,Developing
Timor-Leste,Developing
Togo,Developing
Tonga,Developing
Trinidad and Tobago,Developing
Tunisia,Developing
Turkey,Developing
Turkmenistan,Developing
Tuvalu,Developing
Uganda,Developing
Ukraine,Developing
United Arab Emirates,Developing
United Republic of Tanzania,Developing
Uruguay,Developing
Uzbekistan,Developing
Vanuatu,Developing
Venezuela (Bolivarian Republic of),Developing
Viet Nam,Developing
Yemen,Developing
Zambia,Developing
Zimbabwe,Developing
